qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,acc,gene,compartment,specimen,kingdom,supergroup,phylum,clade,class,order,family,genus,species
AF321261.1.1064_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Vitis|Vitis_riparia,AF321261.1.1064_U|18S_rRNA|nucleus||Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Embryophyceae|Embryophyceae_X|Embryophyceae_XX|Vitis|Vitis_riparia,100.0,1064,0,0,1,1064,1,1064,0.0,1920,AF321261.1.1064_U,18S_rRNA,nucleus,,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Vitis,Vitis_riparia
AF327408.1.1127_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Fungi|Opisthosporidia|Microsporida|Microsporida_X|Vairimorpha|Vairimorpha_cheracis,AF327408.1.1127_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Fungi|Opisthosporidia|Microsporida|Microsporida_X|Vairimorpha|Vairimorpha_cheracis,100.0,1127,0,0,1,1127,1,1127,0.0,2033,AF327408.1.1127_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Fungi,Opisthosporidia,Microsporida,Microsporida_X,Vairimorpha,Vairimorpha_cheracis
AF334911.1.1787_U|18S_rRNA|nucleus|strain_CBS538.90|Eukaryota|Obazoa|Opisthokonta|Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Dentipellis|Dentipellis_separans,AF334911.1.1787_U|18S_rRNA|nucleus|strain_CBS538.90|Eukaryota|Obazoa|Opisthokonta|Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Dentipellis|Dentipellis_separans,100.0,1787,0,0,1,1787,1,1787,0.0,3223,AF334911.1.1787_U,18S_rRNA,nucleus,strain_CBS538.90,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Dentipellis,Dentipellis_separans
AF334913.1.1791_U|18S_rRNA|nucleus|strain_KEW213|Eukaryota|Obazoa|Opisthokonta|Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Gloeoporus|Gloeoporus_taxicola,AF334913.1.1791_U|18S_rRNA|nucleus|strain_KEW213|Eukaryota|Obazoa|Opisthokonta|Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Gloeoporus|Gloeoporus_taxicola,100.0,1791,0,0,1,1791,1,1791,0.0,3231,AF334913.1.1791_U,18S_rRNA,nucleus,strain_KEW213,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Gloeoporus,Gloeoporus_taxicola
AF334935.1.1788_U|18S_rRNA|nucleus|strain_R.G.THORN420|Eukaryota|Obazoa|Opisthokonta|Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Sistotrema|Sistotrema_eximum,AF334935.1.1788_U|18S_rRNA|nucleus|strain_R.G.THORN420|Eukaryota|Obazoa|Opisthokonta|Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Sistotrema|Sistotrema_eximum,100.0,1788,0,0,1,1788,1,1788,0.0,3214,AF334935.1.1788_U,18S_rRNA,nucleus,strain_R.G.THORN420,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Sistotrema,Sistotrema_eximum
AF335508.1.1041_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Platyhelminthes|Cestoda|Eucestoda|Glanitaenia|Glanitaenia_osculata,AF335508.1.1041_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Platyhelminthes|Cestoda|Eucestoda|Glanitaenia|Glanitaenia_osculata,100.0,1041,0,0,1,1041,1,1041,0.0,1878,AF335508.1.1041_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Platyhelminthes,Cestoda,Eucestoda,Glanitaenia,Glanitaenia_osculata
AF335509.1.1040_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Platyhelminthes|Cestoda|Eucestoda|Proteocephalus|Proteocephalus_percae,AF335509.1.1040_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Platyhelminthes|Cestoda|Eucestoda|Proteocephalus|Proteocephalus_percae,100.0,1040,0,0,1,1040,1,1040,0.0,1876,AF335509.1.1040_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Platyhelminthes,Cestoda,Eucestoda,Proteocephalus,Proteocephalus_percae
AF336890.1.1727_U|18S_rRNA|nucleus|specimen_M._Schultz_14024|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Lichinomycetes|Digitothyrea|Digitothyrea_divergens,AF336890.1.1727_U|18S_rRNA|nucleus|specimen_M._Schultz_14024|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Lichinomycetes|Digitothyrea|Digitothyrea_divergens,100.0,1727,0,0,1,1727,1,1727,0.0,3112,AF336890.1.1727_U,18S_rRNA,nucleus,specimen_M._Schultz_14024,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lichinomycetes,Digitothyrea,Digitothyrea_divergens
AF336902.1.1747_UC|18S_rRNA|nucleus|specimen_M._Schultz_16127|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Lichinomycetes|Peccania|Peccania_fontqueriana,AF336902.1.1747_UC|18S_rRNA|nucleus|specimen_M._Schultz_16127|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Lichinomycetes|Peccania|Peccania_fontqueriana,100.0,1223,0,0,1,1223,1,1223,0.0,2206,AF336902.1.1747_UC,18S_rRNA,nucleus,specimen_M._Schultz_16127,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lichinomycetes,Peccania,Peccania_fontqueriana
AF342744.1.1917_U|18S_rRNA|nucleus|strain_SAG_51.94|Eukaryota|Archaeplastida|Rhodophyta|Eurhodophytina|Florideophyceae|Batrachospermales|Batrachospermaceae|Thorea|Thorea_violacea,AF342744.1.1917_U|18S_rRNA|nucleus|strain_SAG_51.94|Eukaryota|Archaeplastida|Rhodophyta|Eurhodophytina|Florideophyceae|Batrachospermales|Batrachospermaceae|Thorea|Thorea_violacea,100.0,1917,0,0,1,1917,1,1917,0.0,3458,AF342744.1.1917_U,18S_rRNA,nucleus,strain_SAG_51.94,Eukaryota,Archaeplastida,Rhodophyta,Eurhodophytina,Florideophyceae,Batrachospermales,Batrachospermaceae,Thorea,Thorea_violacea
AF346418.1.1801_U|18S_rRNA|nucleus|strain_CBS_175.95|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Ceramothyrium|Ceramothyrium_carniolicum,AF346418.1.1801_U|18S_rRNA|nucleus|strain_CBS_175.95|Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Ceramothyrium|Ceramothyrium_carniolicum,100.0,1801,0,0,1,1801,1,1801,0.0,3245,AF346418.1.1801_U,18S_rRNA,nucleus,strain_CBS_175.95,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Ceramothyrium,Ceramothyrium_carniolicum
AF346563.1.2119_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Biscogniauxia|Biscogniauxia_nummularia,AF346563.1.2119_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Fungi|Ascomycota|Pezizomycotina|Sordariomycetes|Biscogniauxia|Biscogniauxia_nummularia,100.0,2119,0,0,1,2119,1,2119,0.0,3822,AF346563.1.2119_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Biscogniauxia,Biscogniauxia_nummularia
AF349045.1.3242_G|18S_rRNA|nucleus|clone_KA/E4|Eukaryota|Amoebozoa|Discosea|Discosea_X|Centramoebia|Acanthopodida|Acanthamoebidae|Acanthamoeba|Acanthamoeba_sp.,AF349045.1.3242_G|18S_rRNA|nucleus|clone_KA/E4|Eukaryota|Amoebozoa|Discosea|Discosea_X|Centramoebia|Acanthopodida|Acanthamoebidae|Acanthamoeba|Acanthamoeba_sp,100.0,3242,0,0,1,3242,1,3242,0.0,5840,AF349045.1.3242_G,18S_rRNA,nucleus,clone_KA/E4,Eukaryota,Amoebozoa,Discosea,Discosea_X,Centramoebia,Acanthopodida,Acanthamoebidae,Acanthamoeba,Acanthamoeba_sp
AF349045.1.3242_R|18S_rRNA|nucleus|clone_KA/E4|Eukaryota|Amoebozoa|Discosea|Discosea_X|Centramoebia|Acanthopodida|Acanthamoebidae|Acanthamoeba|Acanthamoeba_sp.,AF349045.1.3242_R|18S_rRNA|nucleus|clone_KA/E4|Eukaryota|Amoebozoa|Discosea|Discosea_X|Centramoebia|Acanthopodida|Acanthamoebidae|Acanthamoeba|Acanthamoeba_sp,100.0,2285,0,0,1,2285,1,2285,0.0,4114,AF349045.1.3242_R,18S_rRNA,nucleus,clone_KA/E4,Eukaryota,Amoebozoa,Discosea,Discosea_X,Centramoebia,Acanthopodida,Acanthamoebidae,Acanthamoeba,Acanthamoeba_sp
AF350236.1.1779_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Phaeophyceae|Phaeophyceae_X|Phaeophyceae_XX|Dictyopteris|Dictyopteris_acrostichoides,AF350236.1.1779_U|18S_rRNA|nucleus||Eukaryota|TSAR|Stramenopiles|Gyrista|Phaeophyceae|Phaeophyceae_X|Phaeophyceae_XX|Dictyopteris|Dictyopteris_acrostichoides,100.0,1779,0,0,1,1779,1,1779,0.0,3209,AF350236.1.1779_U,18S_rRNA,nucleus,,Eukaryota,TSAR,Stramenopiles,Gyrista,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Dictyopteris,Dictyopteris_acrostichoides
AF352222.1.1787_G|18S_rRNA|nucleus|strain_84-21-14|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_moniliferum,AF352222.1.1787_G|18S_rRNA|nucleus|strain_84-21-14|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_moniliferum,100.0,1787,0,0,1,1787,1,1787,0.0,3223,AF352222.1.1787_G,18S_rRNA,nucleus,strain_84-21-14,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,Closterium_moniliferum
AF352222.1.2260_R|18S_rRNA|nucleus|strain_84-21-14|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_moniliferum,AF352222.1.2260_R|18S_rRNA|nucleus|strain_84-21-14|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_moniliferum,100.0,1814,0,0,1,1814,1,1814,0.0,3272,AF352222.1.2260_R,18S_rRNA,nucleus,strain_84-21-14,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,Closterium_moniliferum
AF352242.1.1772_G|18S_rRNA|nucleus|strain_NIES-339|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_selenastrum,AF352242.1.1772_G|18S_rRNA|nucleus|strain_NIES-339|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_selenastrum,100.0,1772,0,0,1,1772,1,1772,0.0,3196,AF352242.1.1772_G,18S_rRNA,nucleus,strain_NIES-339,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,Closterium_selenastrum
AF352242.1.2233_R|18S_rRNA|nucleus|strain_NIES-339|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_selenastrum,AF352242.1.2233_R|18S_rRNA|nucleus|strain_NIES-339|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_selenastrum,100.0,1799,0,0,1,1799,1,1799,0.0,3245,AF352242.1.2233_R,18S_rRNA,nucleus,strain_NIES-339,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,Closterium_selenastrum
AF352243.1.1784_G|18S_rRNA|nucleus|strain_NIES-200|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_wallichii,AF352243.1.1784_G|18S_rRNA|nucleus|strain_NIES-200|Eukaryota|Archaeplastida|Streptophyta|Streptophyta_X|Zygnemophyceae|Zygnemophyceae_X|Zygnemophyceae_XX|Closterium|Closterium_wallichii,100.0,1784,0,0,1,1784,1,1784,0.0,3218,AF352243.1.1784_G,18S_rRNA,nucleus,strain_NIES-200,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Closterium,Closterium_wallichii
AF358081.1.1822_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Hydrozoa|Hydra|Hydra_viridissima,AF358081.1.1822_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Hydrozoa|Hydra|Hydra_viridissima,100.0,1822,0,0,1,1822,1,1822,0.0,3287,AF358081.1.1822_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Hydra,Hydra_viridissima
AF358082.1.1822_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Hydrozoa|Hydra|Hydra_littoralis,AF358082.1.1822_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Hydrozoa|Hydra|Hydra_littoralis,100.0,1822,0,0,1,1822,1,1822,0.0,3287,AF358082.1.1822_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Hydra,Hydra_littoralis
AF358094.1.1823_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Hydrozoa|Eudendrium|Eudendrium_racemosum,AF358094.1.1823_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Hydrozoa|Eudendrium|Eudendrium_racemosum,100.0,1823,0,0,1,1823,1,1823,0.0,3288,AF358094.1.1823_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Eudendrium,Eudendrium_racemosum
AF358097.1.1832_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Scyphozoa|Cyanea|Cyanea_sp.,AF358097.1.1832_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Scyphozoa|Cyanea|Cyanea_sp,100.0,1832,0,0,1,1832,1,1832,0.0,3305,AF358097.1.1832_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Scyphozoa,Cyanea,Cyanea_sp
AF359472.1.2234_U|18S_rRNA|nucleus|strain_ievolMT3663|Eukaryota|Excavata|Discoba|Euglenozoa|Kinetoplastea|Trypanosomatida|Trypanosomatidae|Schizotrypanum|Schizotrypanum_cruzi,AF359472.1.2234_U|18S_rRNA|nucleus|strain_ievolMT3663|Eukaryota|Excavata|Discoba|Euglenozoa|Kinetoplastea|Trypanosomatida|Trypanosomatidae|Schizotrypanum|Schizotrypanum_cruzi,100.0,2234,0,0,1,2234,1,2234,0.0,4030,AF359472.1.2234_U,18S_rRNA,nucleus,strain_ievolMT3663,Eukaryota,Excavata,Discoba,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,Schizotrypanum,Schizotrypanum_cruzi
AF359475.1.2229_U|18S_rRNA|nucleus|strain_ievolMT3663|Eukaryota|Excavata|Discoba|Euglenozoa|Kinetoplastea|Trypanosomatida|Trypanosomatidae|Schizotrypanum|Schizotrypanum_cruzi,AF359475.1.2229_U|18S_rRNA|nucleus|strain_ievolMT3663|Eukaryota|Excavata|Discoba|Euglenozoa|Kinetoplastea|Trypanosomatida|Trypanosomatidae|Schizotrypanum|Schizotrypanum_cruzi,100.0,2229,0,0,1,2229,1,2229,0.0,4020,AF359475.1.2229_U,18S_rRNA,nucleus,strain_ievolMT3663,Eukaryota,Excavata,Discoba,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,Schizotrypanum,Schizotrypanum_cruzi
AF359477.1.2231_U|18S_rRNA|nucleus|strain_ievolMT3663|Eukaryota|Excavata|Discoba|Euglenozoa|Kinetoplastea|Trypanosomatida|Trypanosomatidae|Schizotrypanum|Schizotrypanum_cruzi,AF359477.1.2231_U|18S_rRNA|nucleus|strain_ievolMT3663|Eukaryota|Excavata|Discoba|Euglenozoa|Kinetoplastea|Trypanosomatida|Trypanosomatidae|Schizotrypanum|Schizotrypanum_cruzi,100.0,2231,0,0,1,2231,1,2231,0.0,4024,AF359477.1.2231_U,18S_rRNA,nucleus,strain_ievolMT3663,Eukaryota,Excavata,Discoba,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,Schizotrypanum,Schizotrypanum_cruzi
AF360995.1.1815_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Annelida|Annelida_X|Annelida_XX|Tubifex|Tubifex_tubifex,DQ284761.1.1815_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Annelida|Annelida_X|Annelida_XX|Tubifex|Tubifex_tubifex,100.0,1815,0,0,1,1815,1,1815,0.0,3274,DQ284761.1.1815_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Tubifex,Tubifex_tubifex
AF363304.1.1876_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Crustacea|Ostracoda|Bairdiocopina|Bairdiocopina_sp.,AF363304.1.1876_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Crustacea|Ostracoda|Bairdiocopina|Bairdiocopina_sp,100.0,1876,0,0,1,1876,1,1876,0.0,3384,AF363304.1.1876_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Bairdiocopina,Bairdiocopina_sp
AF363306.1.1740_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Tigriopus|Tigriopus_californicus,AF363306.1.1740_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Tigriopus|Tigriopus_californicus,100.0,1740,0,0,1,1740,1,1740,0.0,3139,AF363306.1.1740_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Tigriopus,Tigriopus_californicus
AF371969.1.2107_U|18S_rRNA|nucleus|strain_CCAP1560/4|Eukaryota|Amoebozoa|Discosea|Discosea_X|Flabellinia|Dactylopodida|Paramoebidae|Neoparamoeba|Neoparamoeba_pemaquidensis,AF371970.1.2107_U|18S_rRNA|nucleus|strain_CCAP1560/5|Eukaryota|Amoebozoa|Discosea|Discosea_X|Flabellinia|Dactylopodida|Paramoebidae|Neoparamoeba|Neoparamoeba_pemaquidensis,100.0,2107,0,0,1,2107,1,2107,0.0,3800,AF371970.1.2107_U,18S_rRNA,nucleus,strain_CCAP1560/5,Eukaryota,Amoebozoa,Discosea,Discosea_X,Flabellinia,Dactylopodida,Paramoebidae,Neoparamoeba,Neoparamoeba_pemaquidensis
AF372424.1.1014_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Protura|Acerentulus|Acerentulus_traegardhi,AF372424.1.1014_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Protura|Acerentulus|Acerentulus_traegardhi,100.0,1014,0,0,1,1014,1,1014,0.0,1822,AF372424.1.1014_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Protura,Acerentulus,Acerentulus_traegardhi
AF372714.1.1164_U|18S_rRNA|nucleus|clone_BRKC111|Eukaryota|Obazoa|Opisthokonta|Fungi|Rozellomycota|Rozellomycota_X|Rozellomycota_XX|Rozellomycota_XXX|Rozellomycota_XXX_sp.,AF372714.1.1164_U|18S_rRNA|nucleus|clone_BRKC111|Eukaryota|Obazoa|Opisthokonta|Fungi|Rozellomycota|Rozellomycota_X|Rozellomycota_XX|Rozellomycota_XXX|Rozellomycota_XXX_sp,100.0,1164,0,0,1,1164,1,1164,0.0,2100,AF372714.1.1164_U,18S_rRNA,nucleus,clone_BRKC111,Eukaryota,Obazoa,Opisthokonta,Fungi,Rozellomycota,Rozellomycota_X,Rozellomycota_XX,Rozellomycota_XXX,Rozellomycota_XXX_sp
AF372738.1.1275_U|18S_rRNA|nucleus|clone_LEMD045|Eukaryota|TSAR|Rhizaria|Cercozoa|Filosa-Sarcomonadea|Glissomonadida|Sandonidae|Sandonidae_X|Sandonidae_X_sp.,AF372738.1.1275_U|18S_rRNA|nucleus|clone_LEMD045|Eukaryota|TSAR|Rhizaria|Cercozoa|Filosa-Sarcomonadea|Glissomonadida|Sandonidae|Sandonidae_X|Sandonidae_X_sp,100.0,1275,0,0,1,1275,1,1275,0.0,2300,AF372738.1.1275_U,18S_rRNA,nucleus,clone_LEMD045,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Sandonidae_X,Sandonidae_X_sp
AF372762.1.1583_U|18S_rRNA|nucleus|clone_BOLA320|Eukaryota|TSAR|Stramenopiles|Gyrista|Peronosporomycetes|Peronosporomycetes_X|Haliphthorales|Haliphthorales_X|Haliphthorales_X_sp.,AF372762.1.1583_U|18S_rRNA|nucleus|clone_BOLA320|Eukaryota|TSAR|Stramenopiles|Gyrista|Peronosporomycetes|Peronosporomycetes_X|Haliphthorales|Haliphthorales_X|Haliphthorales_X_sp,100.0,1583,0,0,1,1583,1,1583,0.0,2856,AF372762.1.1583_U,18S_rRNA,nucleus,clone_BOLA320,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes_X,Haliphthorales,Haliphthorales_X,Haliphthorales_X_sp
AF372815.1.1453_U|18S_rRNA|nucleus|clone_BOLA126|Eukaryota|TSAR|Alveolata|Apicomplexa|Gregarinomorphea|Eugregarinorida|Uradiphoridae|Uradiphoridae_X|Uradiphoridae_X_sp.,AF372815.1.1453_U|18S_rRNA|nucleus|clone_BOLA126|Eukaryota|TSAR|Alveolata|Apicomplexa|Gregarinomorphea|Eugregarinorida|Uradiphoridae|Uradiphoridae_X|Uradiphoridae_X_sp,100.0,1453,0,0,1,1453,1,1453,0.0,2621,AF372815.1.1453_U,18S_rRNA,nucleus,clone_BOLA126,Eukaryota,TSAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Uradiphoridae,Uradiphoridae_X,Uradiphoridae_X_sp
AF375248.1.1778_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Dinoplatypus|Dinoplatypus_pseudocupulatus,AF375248.1.1778_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Dinoplatypus|Dinoplatypus_pseudocupulatus,100.0,1778,0,0,1,1778,1,1778,0.0,3186,AF375248.1.1778_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Dinoplatypus,Dinoplatypus_pseudocupulatus
AF375260.1.1696_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Scolytogenes|Scolytogenes_sp.,AF375260.1.1696_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Scolytogenes|Scolytogenes_sp,100.0,1696,0,0,1,1696,1,1696,0.0,3023,AF375260.1.1696_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Scolytogenes,Scolytogenes_sp
AF378338.1.2028_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Myxozoa|Myxozoa_X|Myxosporea|Myxobolus|Myxobolus_osburni,AF378338.1.2028_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Myxozoa|Myxozoa_X|Myxosporea|Myxobolus|Myxobolus_osburni,100.0,2028,0,0,1,2028,1,2028,0.0,3636,AF378338.1.2028_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Myxozoa,Myxozoa_X,Myxosporea,Myxobolus,Myxobolus_osburni
AF389029.1.1695_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Caenominurus|Caenominurus_topali,AF389029.1.1695_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Caenominurus|Caenominurus_topali,100.0,1695,0,0,1,1695,1,1695,0.0,3043,AF389029.1.1695_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Caenominurus,Caenominurus_topali
AF389036.1.1415_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Rhinostomus|Rhinostomus_niger,AF389036.1.1415_U|18S_rRNA|nucleus||Eukaryota|Obazoa|Opisthokonta|Metazoa|Arthropoda|Hexapoda|Insecta|Rhinostomus|Rhinostomus_niger,100.0,1415,0,0,1,1415,1,1415,0.0,2545,AF389036.1.1415_U,18S_rRNA,nucleus,,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Rhinostomus,Rhinostomus_niger
